Type+	os+	Type-	os-	R0(A)	b	cn	R_cutoff(A)
Ag	1	As	-3	2.26827	0.352	2.8	6.5
Ag	1	Br	-1	2.03699	0.47	5	5.5
Ag	1	Cl	-1	1.98819	0.429	5.66667	5
Ag	1	F	-1	1.52952	0.498	8	5
Ag	1	I	-1	2.08036	0.53	4	6
Ag	1	O	-2	1.78239	0.394	4.39844	5
Ag	1	Ox	-2	1.78239	0.394	4.39844	5
Ag	1	P	-3	2.18396	0.377	3	6.5
Ag	1	S	-2	2.11006	0.365	3.56863	5
Ag	1	Se	-2	2.17409	0.385	4.30769	5
Ag	1	Te	-2	2.34487	0.42	3.90909	5
Ag	2	F	-1	1.58641	0.509	6.25	5.5
Ag	2	O	-2	1.72209	0.501	5	5.5
Ag	2	Ox	-2	1.72209	0.501	5	5.5
Ag	3	F	-1	1.71485	0.452	4.5	5.5
Ag	3	O	-2	1.82845	0.444	4.75	5.5
Ag	3	Ox	-2	1.82845	0.444	4.75	5.5
Al	3	As	-3	2.36642	0.495	3.88889	6.5
Al	3	Br	-1	2.04045	0.687	4	7
Al	3	Cl	-1	1.89606	0.646	4	6.5
Al	3	F	-1	1.4197	0.519	6	5.5
Al	3	H	-1	1.25071	0.543	6	5.5
Al	3	D	-1	1.25071	0.543	6	5.5
Al	3	I	-1	2.24648	0.747	4	7
Al	3	N	-3	1.69082	0.511	4	6
Al	3	O	-2	1.59901	0.424	5.32692	5
Al	3	Ox	-2	1.59901	0.424	5.32692	5
Al	3	P	-3	2.30547	0.424	3.6	6
Al	3	S	-2	2.05965	0.55	4.07692	6
Al	3	Sb	-3	2.63984	0.296	3.4	5
Al	3	Se	-2	2.17392	0.582	4	6.5
Al	3	Te	-2	2.38658	0.632	4	7
As	3	Cl	-1	2.06175	0.522	3	6
As	3	F	-1	1.683	0.406	3.2	5
As	3	O	-2	1.76706	0.404	3	5
As	3	Ox	-2	1.76706	0.404	3	5
As	3	S	-2	2.20841	0.54	3.12	6
As	3	Se	-2	2.34035	0.571	3.06667	6.5
As	3	Te	-2	2.48812	0.616	5.8	7
As	5	F	-1	1.60379	0.503	6	6
As	5	O	-2	1.76689	0.411	4.0219	5
As	5	Ox	-2	1.76689	0.411	4.0219	5
As	5	S	-2	2.27986	0.534	4	6.5
As	5	Se	-2	2.7179	0.565	4	7
As	5	Te	-2	2.7179	0.615	4	7.5
Au	1	O	-2	1.71819	0.441	2	5.5
Au	1	Ox	-2	1.71819	0.441	2	5.5
Au	1	S	-2	2.06404	0.342	2	4.5
Au	1	Se	-2	2.17613	0.346	2	4
Au	3	Br	-1	2.27911	0.461	4	5.5
Au	3	Cl	-1	2.14524	0.421	4	5.5
Au	3	F	-1	1.697	0.507	4	5.5
Au	3	O	-2	1.81761	0.498	4	5.5
Au	3	Ox	-2	1.81761	0.498	4	5.5
B	3	As	-3	2.09646	0.566	2	6.5
B	3	Br	-1	1.821	0.709	3.6667	6.5
B	3	Cl	-1	1.675	0.669	4	6
B	3	F	-1	1.20039	0.542	4	5
B	3	H	-1	0.98663	0.565	4	5.5
B	3	D	-1	0.98663	0.565	4	5.5
B	3	I	-1	2.007	0.77	4	7.00 ! RCN estimated
B	3	N	-3	1.45677	0.301	2.54546	4
B	3	O	-2	1.35783	0.385	3.4127	4.5
B	3	Ox	-2	1.35783	0.385	3.4127	4.5
B	3	P	-3	1.88454	0.284	2.5	5
B	3	S	-2	1.78195	0.573	3	6
B	3	Se	-2	1.9187	0.607	3	6.00 ! RCN estimated
B	3	Te	-2	2.0982	0.659	3	6.50 ! RCN estimated
Ba	2	As	-3	2.60839	0.674	6.2	8
Ba	2	Br	-1	2.46877	0.595	8.57143	7
Ba	2	Cl	-1	2.41041	0.519	9.6	6.5
Ba	2	F	-1	2.06475	0.428	11.31	6
Ba	2	H	-1	1.6245	0.641	12.33333	6
Ba	2	D	-1	1.6245	0.641	12.33333	6
Ba	2	I	-1	2.6138	0.655	8.6	7.5
Ba	2	N	-3	2.26803	0.525	6.97059	6.5
Ba	2	O	-2	2.15998	0.437	9.87	6
Ba	2	Ox	-2	2.15998	0.437	9.87	6
Ba	2	P	-3	2.56726	0.644	6.22222	7.5
Ba	2	S	-2	2.44239	0.573	8.97297	7
Ba	2	Sb	-3	2.68586	0.749	6	8.5
Ba	2	Se	-2	2.51975	0.604	8.29	7
Ba	2	Te	-2	2.68807	0.649	7.4	7
Be	2	As	-3	2.05685	0.379	3	8
Be	2	Br	-1	1.6581	0.699	4	7.00 ! RCN estimated
Be	2	Cl	-1	1.52729	0.659	4	6.5
Be	2	F	-1	1.14986	0.532	3.97059	5.5
Be	2	H	-1	0.9597	0.555	6	5.50 ! RCN estimated
Be	2	D	-1	0.9597	0.555	6	5.50 ! RCN estimated
Be	2	Hx	-1	0.89243	0.555	6	5.50 ! RCN estimated
Be	2	I	-1	1.8008	0.76	4	7.00 ! RCN estimated
Be	2	N	-3	1.31233	0.629	3	6
Be	2	O	-2	1.20903	0.541	4	5.5
Be	2	Ox	-2	1.20903	0.541	4	5.5
Be	2	S	-2	1.5784	0.677	4	6.50 ! RCN estimated
Be	2	Sb	-3	2.19208	0.479	3.5	6
Be	2	Se	-2	1.7043	0.708	4	7.00 ! RCN estimated
Be	2	Te	-2	1.8497	0.753	4	7.00 ! RCN estimated
Bi	3	Br	-1	2.46708	0.545	6	7
Bi	3	Cl	-1	2.34105	0.505	6.16667	6
Bi	3	F	-1	1.93046	0.423	7.1	5.5
Bi	3	I	-1	2.63989	0.605	6	7.5
Bi	3	O	-2	2.03677	0.414	5.96512	5.5
Bi	3	Ox	-2	2.03677	0.414	5.96512	5.5
Bi	3	S	-2	2.41824	0.523	7.25	6.5
Bi	3	Se	-2	2.54545	0.554	6.10526	7
Bi	3	Te	-2	2.82304	0.599	4.5	7
Bi	5	F	-1	1.86984	0.448	6	5.5
Bi	5	O	-2	2.04498	0.371	6	5
Bi	5	Ox	-2	2.04498	0.371	6	5
Bk	3	O	-2	2.03073	0.43	6.66667	6
Bk	3	Ox	-2	2.03073	0.43	6.66667	6
Br	5	F	-1	1.78477	0.37	6	7
Br	5	O	-2	1.85091	0.444	3	5.5
Br	5	Ox	-2	1.85091	0.444	3	5.5
Br	7	O	-2	1.83682	0.423	4	5.5
Br	7	Ox	-2	1.83682	0.423	4	5.5
C	2	F	-1	1.15907	0.407	3	6
C	2	Nx	-3	1.47705	0.504	1.0435	6.00 ! RCN estimated
C	2	N	-3	1.515	0.504	2	6.00 !dummy estimated values
C	2	I	-1	1.89	0.621	4	7.00 !dummy estimated values
C	2	O	-2	1.41368	0.415	1	5
